Agency,Slug,Title,Chapter,Word Count
Army Corps of Engineers,engineers-corps,33,II,1261876
Department of Defense,defense-department,5,XXVI,1457374
Army Corps of Engineers,engineers-corps,36,III,984413
Office of the Secretary,office-of-the-secretary,32,I,1730123
Department of Navy Acquisition Regulations,department-of-navy-acquisition-regulations,48,52,2390823
Delaware River Basin Commission,delaware-river-basin-commission,18,III,862467
Defense Acquisition Regulations System,defense-acquisition-regulations-system,48,2,2390823
Office of Director of National Intelligence,national-intelligence-office-of-the-national-director,32,XVII,1730123
Consumer Financial Protection Bureau,consumer-financial-protection-bureau,12,X,5389880
Defense Logistics Agency,defense-logistics-agency,48,54,2390823
Department of Education,education-department,2,XXXIV,305159
Defense Logistics Agency,defense-logistics-agency,32,XII,1730123
National Council on Disability,national-council-on-disability,34,XII,1121153
Denali Commission,denali-commission,45,IX,2001296
Office of Director of National Intelligence,national-intelligence-office-of-the-national-director,5,IV,1457374
Office for Civil Rights,office-for-civil-rights,34,I,1121153
National Council on Disability,national-council-on-disability,5,C,1457374
East-West Foreign Trade Board,east-west-foreign-trade-board,15,XIII,1120777
Department of Education,education-department,5,LIII,1457374
Office of Bilingual Education and Minority Languages Affairs,office-of-bilingual-education-and-minority-languages-affairs,34,V,1121153
Office of Elementary and Secondary Education,office-of-elementary-and-secondary-education,34,II,1121153
Office of and Adult Education Technical Career,office-of-and-adult-education-technical-career,34,IV,1121153
Department of Education Acquisition Regulation,department-of-education-acquisition-regulation,48,34,2390823
Office of Postsecondary Education,office-of-postsecondary-education,34,VI,1121153
Election Assistance Commission,election-assistance-commission,2,LVIII,305159
Office of Special Education and Rehabilitative Services,office-of-special-education-and-rehabilitative-services,34,III,1121153
Election Assistance Commission,election-assistance-commission,11,II,227037
Emergency Steel Guarantee Loan Board,emergency-steel-guarantee-loan-board,13,IV,504795
Department of Energy,energy-department,10,II,2383586
Department of Energy,energy-department,2,IX,305159
Department of Energy,energy-department,41,109,637940
Department of Energy,energy-department,5,XXIII,1457374
Department of Energy,energy-department,10,III,2383586
Department of Energy,energy-department,48,9,2390823
Federal Energy Regulatory Commission,federal-energy-regulatory-commission,5,XXIV,1457374
Environmental Protection Agency,environmental-protection-agency,2,XV,305159
Federal Energy Regulatory Commission,federal-energy-regulatory-commission,18,I,862467
Department of Energy,energy-department,10,X,2383586
Environmental Protection Agency,environmental-protection-agency,5,LIV,1457374
Joint Board for the Enrollment of Actuaries,joint-board-for-enrollment-of-actuaries,20,VIII,1913141
Environmental Protection Agency,environmental-protection-agency,48,15,2390823
Environmental Protection Agency,environmental-protection-agency,41,115,637940
Executive Office of the President,executive-office-of-the-president,3,I,3969
Chemical Safety and Hazard Investigation Board,chemical-safety-and-hazard-investigation-board,40,VI,13426474
Equal Employment Opportunity Commission,equal-employment-opportunity-commission,5,LXII,1457374
Office of Science and Technology Policy,science-and-technology-policy-office,32,XXIV,1730123
Office of the Intellectual Property Enforcement Coordinator,office-of-the-intellectual-property-enforcement-coordinator,5,CIV,1457374
Export-Import Bank of the United States,export-import-bank,2,XXXV,305159
Export-Import Bank of the United States,export-import-bank,5,LII,1457374
National Security Council,national-security-council,32,XXI,1730123
National Security Council,national-security-council,47,II,2079582
Equal Employment Opportunity Commission,equal-employment-opportunity-commission,29,XIV,3675576
Office of Science and Technology Policy,science-and-technology-policy-office,47,II,2079582
Environmental Protection Agency,environmental-protection-agency,40,IV,13426474
Farm Credit Administration,farm-credit-administration,5,XXXI,1457374
Federal Acquisition Regulatory Council,federal-acquisition-regulation,48,1,2390823
Farm Credit System Insurance Corporation,farm-credit-system-insurance-corporation,5,XXX,1457374
Federal Communications Commission,federal-communications-commission,2,LX,305159
Federal Acquisition Security Council,federal-acqusition-supply-chain-security,41,201,637940
Federal Communications Commission,federal-communications-commission,47,I,2079582
Farm Credit System Insurance Corporation,farm-credit-system-insurance-corporation,12,XIV,5389880
Federal Election Commission,federal-election-commission,5,XXXVII,1457374
Federal Election Commission,federal-election-commission,11,I,227037
Federal Deposit Insurance Corporation,federal-deposit-insurance-corporation,5,XXII,1457374
Federal Communications Commission,federal-communications-commission,5,XXIX,1457374
Farm Credit Administration,farm-credit-administration,12,VI,5389880
Export-Import Bank of the United States,export-import-bank,12,IV,5389880
