Agency,Slug,Title,Chapter,Word Count
Special Inspector General for Afghanistan Reconstruction,special-inspector-general-for-afghanistan-reconstruction,5,LXXXIII,1457374
Emergency Oil and Gas Guaranteed Loan Board,emergency-oil-and-gas-guaranteed-loan-board,13,V,504795
Commission on Civil Rights,civil-rights-commission,5,LXVIII,1457374
Department of Agriculture,agriculture-department,7,XX,5243321
Office of Assistant Secretary for Community Planning and Development,office-of-assistant-secretary-for-community-planning-and-development,24,V,1698221
United States International Development Finance Corporation,u-s-international-development-finance-corporation,2,XVI,305159
Department of Justice,justice-department,2,XXVIII,305159
International Organizations Employees Loyalty Board,international-organizations-employees-loyalty-board,5,V,1457374
Department of Labor,labor-department,5,XLII,1457374
Department of Justice,justice-department,48,28,2390823
Office of Workers' Compensation Programs,workers-compensation-programs-office,20,I,1913141
United States Fish and Wildlife Service,fish-and-wildlife-service,50,VI,3322427
Merit Systems Protection Board,merit-systems-protection-board,5,LXIV,1457374
Copyright Royalty Board,copyright-royalty-board,37,III,580800
National Aeronautics and Space Administration,national-aeronautics-and-space-administration,48,18,2390823
Information Security Oversight Office,information-security-oversight-office,32,XX,1730123
Institute of Museum and Library Services,institute-of-museum-and-library-services,2,XXXI,305159
National Credit Union Administration,national-credit-union-administration,12,VII,5389880
Office of National Drug Control Policy,office-of-national-drug-control-policy,21,III,2387419
Millennium Challenge Corporation,millennium-challenge-corporation,22,XIII,881604
Nuclear Waste Technical Review Board,nuclear-waste-technical-review-board,10,XIII,2383586
Office of Personnel Management,personnel-management-office,5,XXXV,1457374
Office of Personnel Management,personnel-management-office,5,I,1457374
Pension Benefit Guaranty Corporation,pension-benefit-guaranty-corporation,29,XL,3675576
National Railroad Passenger Corporation,national-railroad-passenger-corporation,49,VII,3605253
Social Security Administration,social-security-administration,2,XXIII,305159
Securities and Exchange Commission,securities-and-exchange-commission,17,II,2243370
Railroad Retirement Board,railroad-retirement-board,20,II,1913141
Federal Highway Administration,federal-highway-administration,23,I,418625
Department of State,state-department,48,6,2390823
Department of Transportation,transportation-department,5,L,1457374
Alcohol and Tobacco Tax and Trade Bureau,alcohol-and-tobacco-tax-and-trade-bureau,27,I,888130
Financial Crimes Enforcement Network,financial-crimes-enforcement-network,31,X,1267926
Federal Transit Administration,federal-transit-administration,49,VI,3605253
Department of Veterans Affairs,veterans-affairs-department,2,VIII,305159
Department of Treasury,treasury-department,2,X,305159
Internal Revenue Service,internal-revenue-service,26,I,9508385
Office for Micronesian Status Negotiations,office-for-micronesian-status-negotiations,32,XXVII,1730123
Privacy and Civil Liberties Oversight Board,privacy-and-civil-liberties-oversight-board,6,X,243433
Corporation for National and Community Service,corporation-for-national-and-community-service,45,XXV,2001296
National Labor Relations Board,national-labor-relations-board,29,I,3675576
Federal Aviation Administration Commercial Space Transportation,commercial-space-transportation-office,14,III,1903018
